        FID  IID    SOL           C1           C2 
  HGDP00203    1      0  -0.00675673   -0.0319892 
  HGDP00205    1      0  -0.00860235   -0.0369491 
  HGDP00206    1      0  -0.00317411   -0.0325527 
  HGDP00208    1      0   -0.0054121   -0.0361029 
  HGDP00210    1      0  -0.00654739   -0.0350276 
  HGDP00213    1      0  -0.00807737   -0.0429181 
  HGDP00214    1      0   -0.0110127   -0.0414151 
  HGDP00216    1      0  -0.00598304   -0.0388648 
  HGDP00218    1      0  -0.00898598   -0.0403055 
  HGDP00220    1      0    0.0104283   -0.0234454 
  HGDP00222    1      0  -0.00668932   -0.0381594 
  HGDP00224    1      0  -0.00690773   -0.0396242 
  HGDP00226    1      0  -0.00801909   -0.0391373 
  HGDP00228    1      0  -0.00634971   -0.0371575 
  HGDP00230    1      0  -0.00612328   -0.0371607 
  HGDP00232    1      0  -0.00714608    -0.038302 
  HGDP00234    1      0  -0.00399973   -0.0379883 
  HGDP00237    1      0  -0.00431126   -0.0322717 
  HGDP00239    1      0  -0.00410776   -0.0316813 
  HGDP00241    1      0  -0.00873975   -0.0416841 
  HGDP00243    1      0   -0.0108751   -0.0430896 
  HGDP00244    1      0  -0.00596895   -0.0376123 
  HGDP00251    1      0  -0.00734983   -0.0360037 
  HGDP00254    1      0  -0.00998698   -0.0411261 
  HGDP00258    1      0   -0.0044839   -0.0338505 
  HGDP00259    1      0  -0.00818693   -0.0408544 
  HGDP00262    1      0  -0.00797525   -0.0396552 
  HGDP00264    1      0  -0.00648373   -0.0377498 
  HGDP00267    1      0  -0.00831393   -0.0428157 
  HGDP00274    1      0  -0.00683765    -0.042537 
  HGDP00277    1      0  -0.00817874   -0.0423171 
  HGDP00279    1      0  -0.00653715   -0.0407232 
  HGDP00281    1      0  -0.00835723   -0.0429453 
  HGDP00285    1      0  -0.00777983    -0.043149 
  HGDP00286    1      0  -0.00852482   -0.0427757 
  HGDP00288    1      0   -0.0078793   -0.0422672 
  HGDP00290    1      0  -0.00735625    -0.042265 
  HGDP00292    1      0  -0.00786245   -0.0438866 
  HGDP00298    1      0  -0.00794898   -0.0419972 
  HGDP00302    1      0  -0.00642025   -0.0413452 
  HGDP00304    1      0  -0.00834181   -0.0427847 
  HGDP00307    1      0  -0.00772009   -0.0422293 
  HGDP00309    1      0  -0.00706972   -0.0422062 
  HGDP00311    1      0  -0.00681279   -0.0419253 
  HGDP00313    1      0  -0.00833456   -0.0416182 
  HGDP00315    1      0    -0.007184   -0.0430777 
  HGDP00319    1      0  -0.00784619   -0.0429453 
  HGDP00321    1      0  -0.00780817    -0.041749 
  HGDP00323    1      0  -0.00918694   -0.0447789 
  HGDP00326    1      0  -0.00689756   -0.0425077 
  HGDP00328    1      0  -0.00742677   -0.0421607 
  HGDP00330    1      0  -0.00788158   -0.0418274 
  HGDP00333    1      0  -0.00854258   -0.0431936 
  HGDP00336    1      0   0.00260712   -0.0286248 
  HGDP00338    1      0   0.00109146   -0.0302188 
  HGDP00341    1      0   0.00252492   -0.0305138 
  HGDP00346    1      0   0.00290851   -0.0301643 
  HGDP00351    1      0   0.00125338   -0.0300971 
  HGDP00356    1      0  0.000976462   -0.0310172 
  HGDP00359    1      0    0.0017025   -0.0298476 
  HGDP00364    1      0 -0.000584081   -0.0321372 
  HGDP00371    1      0   0.00228739   -0.0283968 
  HGDP00372    1      0   0.00338922   -0.0289588 
  HGDP00376    1      0    0.0041095   -0.0252987 
  HGDP00382    1      0   0.00213599   -0.0302525 
  HGDP00388    1      0  -6.9263e-05   -0.0304392 
  HGDP00392    1      0    0.0027361    -0.030989 
  HGDP00397    1      0   0.00119546   -0.0286248 
  HGDP00402    1      0    0.0022116    -0.029537 
  HGDP00407    1      0   0.00433203   -0.0281593 
  HGDP00412    1      0   0.00208743   -0.0302143 
  HGDP00417    1      0   0.00114763   -0.0295407 
  HGDP00423    1      0  0.000948407   -0.0302505 
  HGDP00428    1      0 -1.90465e-05   -0.0316188 
  HGDP00433    1      0  -0.00170363   -0.0321774 
  HGDP00438    1      0   0.00183577   -0.0322671 
  HGDP00444    1      0  0.000478894   -0.0311773 
  HGDP00445    1      0     0.002632   -0.0298313 
  HGDP00448    1      0    -0.126131     0.108347 
  HGDP00449    1      0    -0.124958     0.108919 
  HGDP00450    1      0    -0.124982     0.109648 
  HGDP00451    1      0    -0.127217     0.108485 
  HGDP00454    1      0    -0.124932     0.107159 
  HGDP00455    1      0    -0.124873     0.108681 
  HGDP00456    1      0    -0.124379     0.110724 
  HGDP00457    1      0    -0.125394     0.108855 
  HGDP00458    1      0    -0.124104     0.108262 
  HGDP00459    1      0    -0.125131     0.106504 
  HGDP00460    1      0     -0.12392     0.107378 
  HGDP00461    1      0    -0.125854     0.109453 
  HGDP00462    1      0     -0.12416     0.108833 
  HGDP00463    1      0    -0.124275     0.109419 
  HGDP00464    1      0    -0.125153     0.108448 
  HGDP00465    1      0    -0.126816     0.109507 
  HGDP00466    1      0    -0.124978     0.110112 
  HGDP00467    1      0     -0.12453     0.110058 
  HGDP00468    1      0    -0.125564     0.110436 
  HGDP00469    1      0     -0.12524     0.106466 
  HGDP00470    1      0    -0.124307     0.108732 
  HGDP00471    1      0    -0.124857     0.110733 
  HGDP00472    1      0    -0.124686     0.106961 
  HGDP00473    1      0    -0.125039     0.108358 
  HGDP00474    1      0    -0.124195     0.109372 
  HGDP00475    1      0    -0.124896      0.10784 
  HGDP00476    1      0    -0.123819     0.110861 
  HGDP00477    1      0    -0.126132     0.109114 
  HGDP00478    1      0    -0.124774     0.109229 
  HGDP00479    1      0    -0.125231     0.107395 
  HGDP00490    1      0     0.033089    0.0307132 
  HGDP00491    1      0    0.0340307    0.0306794 
  HGDP00511    1      0   -0.0219386   -0.0645369 
  HGDP00512    1      0    -0.022032   -0.0629625 
  HGDP00513    1      0   -0.0216604   -0.0617869 
